"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"42",42,"Task Order For Workshop on Engineering Systems in the City -A Challenge to the University","07/01/1969","12/31/1969",11000,"BOA/Task Order",3030600,"Direct For Mathematical & Physical Scien",NA,"name not available","06/30/1969","06/30/1969",6900443,"Jeremy","Taylor","07/01/1969","Principal Investigator","National Academy of Engineering","Washington",204180007,"2101 Constitution Ave NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023938100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"Task Order For Partial Support For a Study of Nuclear PhYsics and the Planning of a Prospective Physics Survey","07/01/1969","12/31/1972",125000,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1969","04/27/1972",6900444,"Hugh","Odishaw","07/01/1969","Principal Investigator","National Academy of Sciences","Washington",200012721,"500 FIFTH STREET NW","United States","District of Columbia","DC","George","Wood","07/01/1969","Co-Principal Investigator",2023342254,8900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"Task Order For Support of the Institute of Animal Resources","09/01/1969","09/30/1979",96000,"BOA/Task Order",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","09/25/1969","09/30/1978",6900445,"Thomas","Kennedy","09/01/1969","Principal Investigator","National Research Council","WASHINGTON",204180006,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"Partial Supp of U.S. Partic in the Intl Symp on the Auto AndBiogenesis of Mitochondria and Plasts, Canberra, Australia, 12/8-12/69 1969","12/01/1969","06/30/1970",6000,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","12/11/1969","12/11/1969",6900446,"Martin","Paul","12/01/1969","Principal Investigator","National Research Council","WASHINGTON",204180006,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"Task Order For Partial Support of the Committee on the GeoLogical Sciences","02/01/1970","01/31/1972",33100,"BOA/Task Order",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","06/15/1970","06/15/1970",6900447,"Louise","DATA NOT AVAILABLE","02/01/1970","Principal Investigator","National Research Council","WASHINGTON",204180006,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC","John","DATA NOT AVAILABLE","02/01/1970","Co-Principal Investigator",NA,NA,NA,NA,"DATA NOT AVAILABLE","02/01/1970","Co-Principal Investigator","Marshall","02/01/1970","Co-Principal Investigator","Bradbury","02/01/1970","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"The Management, Oper. & Maint. of the Kitt Peak Nat. Observatory, Tucson, Ariz.","10/10/1968","09/30/1968",43187294,"Contract",3020100,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","10/10/1968","01/25/1974",6900448,"Jeremy","Taylor","10/10/1968","Principal Investigator","Association of Universities for Research in Astronomy, Inc.","Washington",200040000,"1331 Pennsylvania Ave. NW","United States","District of Columbia","DC",NA,NA,NA,NA,2024832101,4300,"NAT OPT ASTRONOMY OBSERVS-NOAO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"Task Order For Processing of Trainee Personal Data Forms","11/01/1968","08/31/1969",13545,"Contract",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","11/21/1968","11/21/1968",6900449,"Jeremy","Taylor","11/01/1968","Principal Investigator","Exotech Systems Inc","Falls Church",22041,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Task Order For the Processing of Information Related to the Proposal Receipt, Evaluation, and Foundation's Education Programs","06/01/1969","08/31/1970",114806,"Contract",5000000,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","06/20/1969","02/20/1970",6900450,"Jeremy","Taylor","06/01/1969","Principal Investigator","Exotech Systems Inc","Falls Church",22041,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"Contract For-Scientific Support Activities For the United States Antarctic Research Program","09/11/1968","12/31/1974",1874301,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","10/07/1968","10/11/1972",6900453,"James","Johnson","09/11/1968","Principal Investigator","Holmes and Narver Inc","Orange",92668,NA,"United States","California","CA","Burt","Kaufman","09/11/1968","Co-Principal Investigator",NA,5122,"EARTH SCIENCES (RESOURCES)","John","Bradbury","09/11/1968","Co-Principal Investigator","DATA NOT AVAILABLE","09/11/1968","Co-Principal Investigator","Kaula","09/11/1968","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,"William",NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"Contract to Organize Nsf Earthquake Engineering Meeting","02/01/1969","01/31/1970",13800,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","02/19/1969","02/19/1969",6900455,"Joseph","Penzien","02/01/1969","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,"MECHANICAL SCIENCES & ENG-RES.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"Design and Prototype Fabrication of an Automated Unmanned Antarctic Geophysical Laboratory (Phase I)","03/01/1969","08/31/1974",570900,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","04/24/1969","02/14/1975",6900461,"Allen","Peterson","03/01/1969","Principal Investigator","Stanford University","Palo Alto",943041212,"3160 Porter Drive","United States","California","CA",NA,NA,NA,NA,6507232300,5114,"METEOROLOGY (US ANTARCTIC RES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5122,"EARTH SCIENCES (RESOURCES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"Contract For Development of Computer-Managed Data Bases For The Fields of Chemistry and Chemical Engineering","03/17/1969","06/30/1972",4437735,"Contract",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/26/1969","09/29/1977",6900462,"Fred","Tate","03/17/1969","Principal Investigator","ACS Chemical Abstracts","Columbus",43201,NA,"United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"Contract For Ecology of Antarctic Microorganisms","06/01/1969","05/31/1973",124000,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/24/1969","10/09/1972",6900463,"Burt","DATA NOT AVAILABLE","06/01/1969","Co-Principal Investigator","California Institute of Technology","PASADENA",911250600,"1200 E California Blvd","United States","California","CA","William","Kaufman","06/01/1969","Co-Principal Investigator",6263956219,NA,NA,"Roy","Kaula","06/01/1969","Co-Principal Investigator","Cameron","06/01/1969","Principal Investigator","Bradbury","06/01/1969","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,"John",NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Contract For Exploration of the Possibility of Generating Importance and Utilization Measures By Citation Indexing of Approximately 250 Journals in the Physical Sciences","07/01/1970","03/31/1976",579002,"Contract",1030701,"Office Of The Director",NA,"name not available","06/26/1970","08/25/1977",6900466,"Francis","Narin","07/01/1970","Principal Investigator","IPIQ, INC","Westmont",81082827,"222 Haddon Ave.","United States","New Jersey","NJ",NA,NA,NA,NA,8565460600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"Improvement of Computing Services","08/19/1969","08/31/1972",395000,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","08/19/1969","08/19/1969",6900479,"May Beth","Givan","08/19/1969","Principal Investigator","Bucknell University","LEWISBURG",178372111,"One Dent Drive","United States","Pennsylvania","PA",NA,NA,NA,NA,5705773855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"Logical Design of Digital Networks By Large-Scale Integer Programming","08/07/1969","08/31/1973",47700,"Standard Grant",3040000,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","08/07/1969","08/07/1969",6900504,"William","Murdy","08/07/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,"DATA NOT AVAILABLE","08/07/1969","Co-Principal Investigator",2173332187,2811,"THEORETICAL COMPUTER SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"Computer-Related Curriculum Development","06/30/1969","06/30/1970",8300,"Standard Grant",3040000,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","06/30/1969","06/30/1969",6900516,"May Beth","Givan","06/30/1969","Principal Investigator","Xavier University of Louisiana","new orleans",701251098,"#1 Drexel Drive","United States","Louisiana","LA",NA,NA,NA,NA,5045205440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"Computer-Related Curriculum Development","06/30/1969","06/30/1970",11000,"Standard Grant",5000100,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","06/30/1969","06/30/1969",6900517,"Bernard","Weigman","06/30/1969","Principal Investigator","Loyola University Maryland, Inc.","Baltimore",212102699,"4501 N CHARLES ST","United States","Maryland","MD",NA,NA,NA,NA,4016172004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"A Regional Development of Computer Uses in Higher Education","11/18/1969","11/30/1971",6400,"Standard Grant",5000100,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","11/18/1969","11/18/1969",6900531,NA,"DATA NOT AVAILABLE","11/18/1969","Principal Investigator","Queens College","Charlotte",282740001,"1900 Selwyn Avenue","United States","North Carolina","NC",NA,NA,NA,NA,7043372274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"System Theory Research","07/01/1969","06/30/1971",296200,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1969","06/30/1969",6900549,"Jeremy","Taylor","07/01/1969","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,"21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,6082623822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"Creeping Flow Aerodynamics","09/15/1969","09/30/1971",44700,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","08/22/1969","08/22/1969",6900556,NA,"DATA NOT AVAILABLE","09/15/1969","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,"MECHANICAL SCIENCES & ENG-RES.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"Unsteady-State Flow of Fluids in Wood","07/01/1969","02/28/1977",34600,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/20/1969","01/16/1975",6900566,"John","Siau","07/01/1969","Principal Investigator","SUNY College of Environmental Science and Forestry","Albany",122010009,"PO Box 9","United States","New York","NY",NA,NA,NA,NA,3154706606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"Transport Processes in Multiparticle Laminar Flow Systems","03/15/1970","03/31/1972",35900,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","03/06/1970","03/06/1970",6900588,NA,"DATA NOT AVAILABLE","03/15/1970","Principal Investigator","Carnegie-Mellon University","PITTSBURGH",152133815,"5000 Forbes Avenue","United States","Pennsylvania","PA",NA,NA,NA,NA,4122689527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"Flow Generated Noise in Piping and Duct Systems","06/01/1969","07/31/1970",26300,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/04/1969","06/04/1969",6900608,"Jeremy","Taylor","06/01/1969","Principal Investigator","Polytechnic University of New York","Brooklyn",112013826,"15 Metrotech Center","United States","New York","NY",NA,NA,NA,NA,7182603360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"Effects of Earthquake Motions on Reinforced Concrete Buildings","10/01/1969","09/30/1970",58700,"Continuing grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","09/16/1969","09/16/1969",6900635,"N.","Nielsen","10/01/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,2173332187,1430,"MECHANICAL SCIENCES & ENG-RES.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"Transl Jour-Atmos & Oceanic Physics, Physics of the Solid Earth, Geomagnetism & Aeronomy, Geodesty& Aerophotography, OCeanology, Geotectonics, & Soviet Hydrology-Selec Papers,","01/01/1969","12/31/1971",118000,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","04/03/1969","04/03/1969",6900670,"A. F.","Spilhaus, Jr.","01/01/1969","Principal Investigator","American Geophysical Union","Washington",200099123,"2000 FLORIDA AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,2024626900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"Publication of 'the Chinese of Hong Kong- a Study of an Island Community'","09/26/1969","12/31/1971",15000,"Standard Grant",4040400,"Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","09/26/1969","12/18/1974",6900677,"Jeremy","Taylor","09/26/1969","Principal Investigator","Yale University","New Haven",65208327,"Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,2037854689,1310,"ANTHROPOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"To Expand the University of Georgia Information Center","11/24/1969","11/30/1972",685200,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","11/24/1969","12/09/1971",6900678,"Jeremy","Taylor","11/24/1969","Principal Investigator","University of Georgia","Athens",306021589,"310 East Campus Rd","United States","Georgia","GA",NA,NA,NA,NA,7065425939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"National Information Systems For Physics- Stage Ii Development","12/01/1969","02/28/1973",1865810,"Continuing grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","02/25/1970","02/17/1972",6900680,"H.","Kock","12/01/1969","Principal Investigator","American Institute of Physics","COLLEGE PARK",207400384,"1 PHYSICS ELLIPSE","United States","Maryland","MD",NA,NA,NA,NA,3012093127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"Publication of Third Edition, 'international Directory of Psychologists'","01/25/1971","12/31/1977",25500,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","01/25/1971","05/23/1975",6900685,"Jeremy","Taylor","01/25/1971","Principal Investigator","Michigan State University","East Lansing",488242600,"Office of Sponsored Programs","United States","Michigan","MI",NA,NA,NA,NA,5173555040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"Galactic Structure at High Galactic Latitudes","02/15/1969","02/28/1971",35100,"Standard Grant",3020101,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","01/31/1969","01/31/1969",6900688,"A.G. Davis","Philip","02/15/1969","Principal Investigator","Dudley Observatory","Schenectady",123052209,"100 Fuller Road","United States","New York","NY","Anthony","Houghton","02/15/1969","Co-Principal Investigator",5183827583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"Group Theory","07/01/1969","06/30/1970",40000,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/19/1969","06/19/1969",6900693,"Michio","Suzuki","07/01/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL","John","Walter","07/01/1969","Co-Principal Investigator",2173332187,1264,"ALGEBRA,NUMBER THEORY,AND COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"Purchase of a Gel Permeation Chromatograph","06/01/1969","05/31/1970",14800,"Standard Grant",3090308,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","04/23/1969","04/23/1969",6900698,"Jeffrey","Morton","06/01/1969","Principal Investigator","University of Akron","Akron",443250001,"302 Buchtel Common","United States","Ohio","OH",NA,NA,NA,NA,3309727666,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"Regional Conference on Logic, Computability and Automata Theory","05/01/1969","04/30/1970",6800,"Standard Grant",3040000,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/15/1969","04/15/1969",6900729,NA,"DATA NOT AVAILABLE","05/01/1969","Principal Investigator","Morehouse College","Atlanta",303143773,"830 Westview Drive S W","United States","Georgia","GA",NA,NA,NA,NA,4046812800,2811,"THEORETICAL COMPUTER SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"Generalized Temperatures","07/01/1969","06/30/1970",10100,"Standard Grant",3040101,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","06/18/1969","06/18/1969",6900739,"Deborah","Haimo","07/01/1969","Principal Investigator","University of Missouri-Saint Louis","SAINT LOUIS",631214400,"ONE UNIVERSITY BLVD","United States","Missouri","MO",NA,NA,NA,NA,3145165897,1266,"APPLIED MATHEMATICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"Algebra and Number Theory","07/01/1969","06/30/1970",60000,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/17/1969","06/17/1969",6900746,"Albey","Reiner","07/01/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,2173332187,1264,"ALGEBRA,NUMBER THEORY,AND COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,"Terpene Chemistry","09/01/1969","12/31/1976",102800,"Standard Grant",3090302,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","08/14/1969","11/10/1975",6900752,NA,"DATA NOT AVAILABLE","09/01/1969","Principal Investigator","Florida State University","TALLAHASSEE",323064166,"874 Traditions Way, 3rd Floor","United States","Florida","FL",NA,NA,NA,NA,8506445260,1934,"SYNTHETIC ORGANIC & NAT PRODUC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"Theoretical Chemistry","03/06/1969","03/31/1970",56400,"Continuing grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/06/1969","03/06/1969",6900770,"Oktay","Sinanoglu","03/06/1969","Principal Investigator","Yale University","New Haven",65208327,"Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,2037854689,1915,"EXPERIMENTAL CHEMICAL PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"Differential Geometry","06/15/1969","06/30/1970",58800,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/23/1969","06/23/1969",6900773,"Jeremy","Taylor","06/15/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,2173332187,1261,"CLASSICAL ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"Some Aspects of Organometallic Chemistry","09/01/1969","08/31/1975",32100,"Continuing grant",3090302,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/27/1969","06/27/1969",6900780,"Rowland","Pettit","09/01/1969","Principal Investigator","University of Texas at Austin","Austin",787121532,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,5124716424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"Logic and Group Theory","06/15/1969","06/30/1970",55300,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/05/1969","06/05/1969",6900815,"Jeremy","Taylor","06/15/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,2173332187,1264,"ALGEBRA,NUMBER THEORY,AND COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"Molecular Emission Continua, Collisions of Excited States, And Molecular Ionization","09/01/1969","08/31/1974",131400,"Standard Grant",3090105,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","08/11/1969","03/13/1974",6900819,"Allan","Smith","09/01/1969","Principal Investigator","Yale University","New Haven",65208327,"Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,2037854689,1915,"EXPERIMENTAL CHEMICAL PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"Functional Analysis","07/01/1969","06/30/1970",34900,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/23/1969","06/23/1969",6900830,NA,"DATA NOT AVAILABLE","07/01/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,2173332187,1262,"MODERN ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"Probability and Related Parts of Analysis","07/01/1969","06/30/1970",33000,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/30/1969","06/30/1969",6900842,"Jeremy","Taylor","07/01/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,2173332187,1262,"MODERN ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
