"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Organization.Division.LongName","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramReference.Code.2","Award.ProgramReference.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Code.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.ProgramElement.Code.19","Award.ProgramElement.Code.20","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.6"
"263",263,"Research on Linear Partial Differential Equations","03/01/1974","09/04/1978",25500,"Standard Grant",3040102,"Direct For Mathematical & Physical Scien","name not available","02/27/1974","03/04/1976",7401892,"Arthur","Menikoff","03/01/1974","Principal Investigator","Johns Hopkins University","Baltimore",212182608,4105168668,"3400 N CHARLES ST","United States","Maryland","MD","Division Of Mathematical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",264,"Visual Information Processing in the Anuran Optic Tectum","01/15/1974","12/31/1977",70000,"Standard Grant",8030101,"Direct For Biological Sciences","name not available","01/11/1974","07/19/1977",7401898,"David","Ingle","01/15/1974","Principal Investigator","McLean Hospital","Belmont",24781041,6178552868,"115 Mill Street","United States","Massachusetts","MA","Division of Behavioral & Neural Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",265,"Oceanography of the Bering Sea. Phase Iii. PrimaryproductiviTy and Organic Matter Transfer.","03/01/1974","08/31/1975",92700,"Standard Grant",6040301,"Directorate For Geosciences","name not available","12/14/1973","12/14/1973",7401907,"Vera","Alexander","03/01/1974","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK","Division Of Ocean Sciences",1650,"BIOLOGICAL OCEANOGRAPHY","Robert","Cooney","03/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",266,"Markov Processes","06/01/1974","11/30/1977",73200,"Standard Grant",3040103,"Direct For Mathematical & Physical Scien","name not available","03/12/1974","09/01/1976",7401921,"Monroe","Donsker","06/01/1974","Principal Investigator","New York University","NEW YORK",100121019,2129982121,"70 WASHINGTON SQUARE S","United States","New York","NY","Division Of Mathematical Sciences",1263,"PROBABILITY","Srinivasa","Varadhan","06/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",267,"Preparation and Publication of an Atlas of Spectra of Cool STars","09/15/1974","03/08/1977",43100,"Standard Grant",3020400,"Direct For Mathematical & Physical Scien","name not available","09/03/1974","09/08/1975",7401929,NA,"DATA NOT AVAILABLE","09/15/1974","Principal Investigator","Ohio State University","Columbus",432101016,6146888735,"Office of Sponsored Programs","United States","Ohio","OH","Division Of Astronomical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",268,"Ion Implantation in Semiconductors","02/01/1974","01/31/1978",94600,"Standard Grant",1090000,"Office Of The Director","name not available","03/04/1974","02/27/1976",7401930,"James","Mayer","02/01/1974","Principal Investigator","California Institute of Technology","PASADENA",911250600,6263956219,"1200 E California Blvd","United States","California","CA","Office Of Internatl Science &Engineering",NA,NA,"Marc-A","Nicolet","02/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",269,"A Rational Analysis and Design Procedure For Wood Joist Floor Systems","10/01/1974","03/31/1977",105900,"Standard Grant",3030301,"Direct For Mathematical & Physical Scien","name not available","09/16/1974","09/16/1974",7401932,"Mortimer","Vanderbilt","10/01/1974","Co-Principal Investigator","Colorado State University","Fort Collins",805232002,9704916355,"601 S Howes St","United States","Colorado","CO",NA,1431,"CIVIL & ENVIRONMENTAL TEC","Marvin","Criswell","10/01/1974","Co-Principal Investigator",NA,NA,"James","Goodman","10/01/1974","Principal Investigator",NA,NA,NA,NA,"Bodig","10/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,"Jozsef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",270,"Fatigue Detection By Optical Correlation Techniques","02/15/1974","07/31/1976",50000,"Standard Grant",3030303,"Direct For Mathematical & Physical Scien","name not available","02/15/1974","04/10/1975",7401933,"Francis T.","Yu","02/15/1974","Co-Principal Investigator","Wayne State University","Detroit",482023622,3135772424,"5057 Woodward","United States","Michigan","MI",NA,NA,NA,"W. Lance","Haworth","02/15/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",271,"Systematic Fast-Neutron Activation Study of Oxygen in Oxygen Bearing Compounds","09/01/1973","02/28/1975",51100,"Standard Grant",6030002,"Directorate For Geosciences","name not available","09/13/1973","05/12/1975",7401945,"Vincent","Guinn","09/01/1973","Principal Investigator","University of California-Irvine","Irvine",926173213,9498247295,"141 Innovation Drive, Ste 250","United States","California","CA","Division Of Earth Sciences",1541,"GEOCHEMISTRY","George","Miller","09/01/1973","Co-Principal Investigator",NA,NA,"Alex","Volborth","09/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",272,"Natural Products From Marine Algae","06/01/1974","11/30/1977",111600,"Continuing grant",3090304,"Direct For Mathematical & Physical Scien","name not available","05/22/1974","12/24/1975",7401950,"Richard","Moore","06/01/1974","Principal Investigator","University of Hawaii","HONOLULU",968222234,8089567800,"2440 Campus Road, Box 368","United States","Hawaii","HI","Division Of Chemistry",1934,"SYNTHETIC ORGANIC & NAT PRODUC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",273,"Studies in Statistical Mechanics","12/15/1973","11/30/1978",155700,"Continuing grant",3010500,"Direct For Mathematical & Physical Scien","name not available","12/21/1973","05/11/1977",7401951,"Melville","Green","12/15/1973","Principal Investigator","Temple University","PHILADELPHIA",191405104,2157077379,"3340 N. Broad Street","United States","Pennsylvania","PA","Division Of Physics",NA,NA,"James","Gunton","12/15/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",274,"Personnel Mobility Assignment","12/19/1973","12/31/1975",35650,"Standard Grant",6040303,"Directorate For Geosciences","name not available","12/19/1973","12/19/1973",7401962,"Michael","Healy","12/19/1973","Principal Investigator","University of Washington","Seattle",981950001,2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA","Division Of Ocean Sciences",1611,"OCEAN PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",275,"Interagency Agreement For the Detail of a Research Chemist By the National Institute of Allergy and Infectious Diseases/Nih to the National Science Foundation","09/02/1973","07/31/1974",25491,"Interagency Agreement",10020000,"Office of Budget, Finance, & Award Management","name not available","11/09/1973","11/09/1973",7401966,"Roy","Repaske","09/02/1973","Principal Investigator","National Institutes of Hlth Natl Inst of Allergy/Infect Disease","Bethesda",208926612,NA,"6610 Rockledge Drive","United States","Maryland","MD","Division of Financial Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",276,"Nitrogen Fixation in Sea Grass Communities","12/01/1973","10/31/1978",151500,"Standard Grant",6040301,"Directorate For Geosciences","name not available","11/29/1973","05/21/1976",7401986,"Barrie","Taylor","12/01/1973","Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE",331491031,3054214089,"4600 RICKENBACKER CSWY","United States","Florida","FL","Division Of Ocean Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",277,"Mechanical Equation of State For Plastic Deformation","05/01/1974","10/31/1976",60200,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","name not available","04/11/1974","04/11/1974",7401988,NA,"DATA NOT AVAILABLE","05/01/1974","Principal Investigator","Cornell University","Ithaca",148502820,6072555014,"373 Pine Tree Road","United States","New York","NY","Division Of Materials Research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",278,"Thallium 205 Nuclear Magnetic Resonance","06/01/1974","11/30/1977",82700,"Continuing grant",3090106,"Direct For Mathematical & Physical Scien","name not available","05/23/1974","06/01/1976",7401990,"Jeffrey","Zink","06/01/1974","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,3107940102,"10889 Wilshire Boulevard","United States","California","CA","Division Of Chemistry",1916,"STRUCTURAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",279,"Dielectric Anomaly and the Metal-Insulator Transistion Highly Doped Semiconductors","07/01/1974","12/31/1976",79600,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","name not available","05/20/1974","05/19/1975",7401992,"Theodore","Castner","07/01/1974","Principal Investigator","University of Rochester","Rochester",146270140,5852754031,"518 HYLAN, RC BOX 270140","United States","New York","NY","Division Of Materials Research",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,1761,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",280,"The Yerkes Observatory Astrometric Program","03/01/1974","02/28/1975",45000,"Standard Grant",3020400,"Direct For Mathematical & Physical Scien","name not available","12/27/1974","09/20/1974",7401997,"Neal","Van Alfen","03/01/1974","Principal Investigator","University of Chicago","Chicago",606375418,7737028669,"5801 South Ellis Avenue","United States","Illinois","IL","Division Of Astronomical Sciences",NA,NA,"Delmar","Van Meter","03/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",281,"Application of Cycling Zone Techniques to Preparative Liquid Chromatography","06/01/1974","06/30/1979",92900,"Standard Grant",7020000,"Directorate For Engineering","name not available","04/29/1974","08/18/1977",7402002,"Phillip","Wankat","06/01/1974","Principal Investigator","Purdue University","West Lafayette",479072114,7654941055,"Young Hall","United States","Indiana","IN","Div Of Chem, Bioeng, Env, & Transp Sys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",282,"Ecology of Hemlock","10/01/1973","04/14/1978",136000,"Standard Grant",8010208,"Direct For Biological Sciences","name not available","09/28/1973","10/14/1975",7402008,"Margaret","Davis","10/01/1973","Principal Investigator","Yale University","New Haven",65208327,2037854689,"Office of Sponsored Projects","United States","Connecticut","CT","Division Of Environmental Biology",1128,"POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",283,"A Computerized Ultrasound Processing, Acquisition and Display Study","01/01/1974","09/30/1975",83600,"Standard Grant",5010003,"Direct For Computer & Info Scie & Enginr","name not available","01/01/1974","03/31/1975",7402009,"Albert","Goldstein","01/01/1974","Principal Investigator","University of Kansas Medical Center","Kansas City",661607702,9135885238,"MSN 1039, 3901 Rainbow Boulevard","United States","Kansas","KS","Division of Computing and Communication Foundations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",284,"Light Scattering and Radiative Scattering","02/15/1974","07/31/1976",29100,"Standard Grant",6020102,"Directorate For Geosciences","name not available","03/01/1974","11/28/1975",7402010,"Petr","Chylek","02/15/1974","Principal Investigator","SUNY at Albany","Albany",122220100,5184374550,"1400 WASHINGTON AVE","United States","New York","NY","Div Atmospheric & Geospace Sciences",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",285,"Ions, Ion-Pairs, Radical Ions and Electron Transfer Processes","02/15/1974","07/31/1977",245900,"Continuing grant",3090102,"Direct For Mathematical & Physical Scien","name not available","12/17/1973","03/15/1976",7402017,"Michael","Szwarc","02/15/1974","Principal Investigator","SUNY College of Environmental Science and Forestry","Albany",122010009,3154706606,"PO Box 9","United States","New York","NY","Division Of Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",286,"Materials Properties of Bioplastics","05/01/1974","10/31/1976",50000,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","name not available","04/08/1974","04/08/1974",7402018,"Alan","Walton","05/01/1974","Principal Investigator","Case Western Reserve University","CLEVELAND",441064901,2163684510,"Nord Hall, Suite 615","United States","Ohio","OH","Division Of Materials Research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",287,"Collaborative Research in Lidar Studies of the Urban AtmoSphere in the Polar Regions","12/01/1973","11/30/1974",38800,"Standard Grant",6090300,"Directorate For Geosciences","name not available","11/15/1973","11/15/1973",7402026,"Walter","Dabberdt","12/01/1973","Principal Investigator","SRI International","Menlo Park",940253493,6508592651,"333 RAVENSWOOD AVE","United States","California","CA","Division Of Polar Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",288,"Physiological and Biochemical Studies With Gibberellins Using Mutants of Gibberella","03/01/1974","06/30/1977",59500,"Standard Grant",8090100,"Direct For Biological Sciences","name not available","02/12/1974","08/30/1976",7402028,"Bernard","Phinney","03/01/1974","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,3107940102,"10889 Wilshire Boulevard","United States","California","CA","Division Of Integrative Organismal Systems",1111,"DEVELOPMENTAL SYSTEMS CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",289,"Travel to Consult With European Scientists and Participate IN the International Conference on Statistical Mechanics, AmsTerdam, the Netherlands 08/26-31/73","01/01/1900","06/30/1900",0,"Standard Grant",7000000,"Directorate For Engineering","name not available",NA,NA,7402031,"Akira","Isihara","01/01/1900","Principal Investigator","Travel Award","Arlington",22230,NA,NA,"United States","Virginia","VA","Directorate For Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",290,"Stochastic Model of Water Temperature in Streams and Lakes","11/01/1974","10/31/1977",61063,"Standard Grant",3030301,"Direct For Mathematical & Physical Scien","name not available","10/11/1974","05/11/1977",7402036,"Charles","Song","11/01/1974","Principal Investigator","University of Minnesota-Twin Cities","Minneapolis",554552070,6126245599,"200 OAK ST SE","United States","Minnesota","MN",NA,NA,NA,"Charles","Bowers","11/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",291,"Long Wavelength Laser Heating of Magnetically Confined Plasmas","01/15/1974","01/31/1976",115000,"Standard Grant",7020000,"Directorate For Engineering","name not available","01/15/1974","01/15/1974",7402038,"George","Vlases","01/15/1974","Principal Investigator","University of Washington","Seattle",981950001,2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA","Div Of Chem, Bioeng, Env, & Transp Sys",1407,"Combustion & Fire Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",292,"Regulatory Elements of the Tryptophan Operon","02/01/1974","07/31/1976",75000,"Standard Grant",8070100,"Direct For Biological Sciences","name not available","02/01/1974","02/01/1974",7402041,"Elias","Balbinder","02/01/1974","Principal Investigator","Syracuse University","SYRACUSE",132441200,3154432807,"OFFICE OF SPONSORED PROGRAMS","United States","New York","NY","Div Of Molecular and Cellular Bioscience",1112,"Genetic Mechanisms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
