"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"494","An Evaluation of the Effects of Earthquake Input Motion Phasing on Structural Response Characteristics","09/01/1976","02/28/1978","106100","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","09/29/1976","09/29/1976","7502473","Stuart","Werner","09/01/1976","Principal Investigator","Agbabian Associates","El Segundo","902454529","2136400576","250 No. Nash Street","United States","California","CA",NA,NA,"sdwerner@ix.netcom.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Functional Analysis of Primate Locomotor Systems","11/15/1974","10/31/1977","50000","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","11/11/1974","05/24/1977","7502478","Russell","Tuttle","11/15/1974","Principal Investigator","University of Chicago","Chicago","606375418","7737028669","5801 South Ellis Avenue","United States","Illinois","IL",NA,NA,"russt@uchicago.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","The Structure and Control of Emotional Responses","02/01/1975","07/31/1978","72700","Standard Grant","04040500","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","01/31/1975","01/06/1977","7502482","Howard","Leventhal","02/01/1975","Principal Investigator","University of Wisconsin-Madison","MADISON","537151218","6082623822","21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","High Energy Photoproduction Studies","01/15/1975","06/30/1977","444300","Standard Grant","03010200","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","01/17/1975","05/21/1976","7502487","Frederick","Lobkowicz","01/15/1975","Co-Principal Investigator","University of Rochester","Rochester","146270140","5852754031","518 HYLAN, RC BOX 270140","United States","New York","NY","Edward","Thorndike","thorn@pas.rochester.edu","01/15/1975","Principal Investigator","1272","ELEMENTARY PARTICLE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Howard University/Washington International School Bi-Lingual Science Education In-Service Project","01/15/1975","09/30/1976","20101","Standard Grant","05010200","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","01/10/1975","01/10/1975","7502500","Charles","Martin","01/15/1975","Principal Investigator","Howard University","Washington","200599000","2028064759","2400 Sixth Street N W","United States","District of Columbia","DC",NA,NA,NA,NA,NA,"7430","UNDERGRAD FACULTY ENHANC PROGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","Leadership Specialist Project in Iac Chemistry","01/15/1975","06/30/1976","44167","Standard Grant","05010200","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","01/10/1975","01/10/1975","7502508","Henry","Heikkinen","01/15/1975","Principal Investigator","University of Maryland College Park","COLLEGE PARK","207425141","3014056269","3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,"hwheikk@unco.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","Materials & Strategies of Envionmental Studies","01/15/1975","04/30/1976","0","Standard Grant","05010200","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available",NA,NA,"7502511","Robert","Samples","01/15/1975","Principal Investigator","Evergreen State College","Olympia","985050002","3608676640","2700 Evergreen Parkway NW","United States","Washington","WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","Studies of the Ice Phase in Wintertime Clouds","12/01/1974","05/31/1977","386600","Continuing grant","06020102","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","11/22/1974","02/12/1976","7502515","Gabor","Vali","12/01/1974","Principal Investigator","University of Wyoming","Laramie","820712000","3077665320","1000 E. University Avenue","United States","Wyoming","WY",NA,NA,"vali@uwyo.edu",NA,NA,"1522","PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","Special Foreign Currency Award (63,000 Egyptian Pounds) For Geophysical Study of the Eastern Mediterranean","11/15/1974","05/31/1978","113375","Standard Grant","06030000","Directorate For Geosciences","Division Of Earth Sciences","name not available","11/11/1974","03/02/1977","7502516","David","Ross","11/15/1974","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE","025431041","5082893542","183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","Conference on Structural Stability, Catastrophe Theory, and Their Applications in the Sciences to Be Held in Seattle, Washington During April 1975","03/15/1975","03/31/1976","15200","Standard Grant","03040100","Directorate for Mathematical & Physical Sciences","Division of Mathematical Sciences","name not available","03/19/1975","03/19/1975","7502518","Peter","Hilton","03/15/1975","Principal Investigator","BATTELLE MEM-SEATTLE R C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","Characterization and Photochemical Decomposition of Polynuclear Aromatic Hydrocarbons Associated With AutomotiveExhaust Particulates","04/01/1975","09/30/1977","58500","Standard Grant","03090306","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","04/02/1975","04/02/1975","7502520","Herbert","Laitinen","04/01/1975","Principal Investigator","University of Florida","GAINESVILLE","326112002","3523923516","1 UNIVERSITY OF FLORIDA","United States","Florida","FL","Kuang Pang","Li",NA,"04/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","Catalysis By Metallocarboranes","04/01/1975","08/31/1978","216900","Continuing grant","03090302","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/05/1975","03/02/1977","7502521","M. Frederick","Hawthorne","04/01/1975","Principal Investigator","University of California-Los Angeles","LOS ANGELES","900951406","3107940102","10889 Wilshire Boulevard","United States","California","CA",NA,NA,"hawthornem@missouri.edu",NA,NA,"1932","SYNTHETIC INORGANIC & ORGANOME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","Infrared Spectroscopy of Adsorbates on Clean Solid Surfaces","03/01/1975","09/30/1976","45000","Standard Grant","03090108","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/24/1975","06/14/1976","7502523","Lanny","Schmidt","03/01/1975","Co-Principal Investigator","University of Minnesota-Twin Cities","Minneapolis","554552070","6126245599","200 OAK ST SE","United States","Minnesota","MN","John","Overend","schmidt@cems.umn.edu","03/01/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","Spectroscopic Studies of Molecular Energetics and Dynamics","09/15/1974","08/31/1978","267000","Continuing grant","03090106","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","05/29/1975","07/29/1977","7502525","George","Leroi","09/15/1974","Principal Investigator","Michigan State University","East Lansing","488242600","5173555040","Office of Sponsored Programs","United States","Michigan","MI",NA,NA,"geleroi@msu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","Teacher Centered Project Adaptation","01/15/1975","07/31/1976","23704","Standard Grant","05010200","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","01/10/1975","01/10/1975","7502533","Lawrence","Poorman","01/15/1975","Principal Investigator","Indiana State University","TERRE HAUTE","478091902","8122373088","200 N 7TH STREET","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","A Prototype Research Review and Compilation of Results From Selected Awards (C979)","10/23/1974","01/31/1976","116083","Contract","07030000","Directorate For Engineering","Div Of Civil, Mechanical, & Manufact Inn","name not available","10/23/1974","11/16/1979","7502548","Saul","Gass","10/23/1974","Principal Investigator","Mathematica Inc Bethesda (CLOSED)","Bethesda","20814",NA,NA,"United States","Maryland","MD",NA,NA,"sgass@rhsmith.umd.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","Topics in Set Theory","07/01/1975","12/31/1976","18700","Standard Grant","03040108","Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/02/1975","04/02/1975","7502557","Robert","Solovay","07/01/1975","Principal Investigator","University of California-Berkeley","BERKELEY","947045940","5106428109","Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","A Nitrogen Laser Pumped Tunable Dye Laser","03/01/1975","08/31/1976","28200","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","02/27/1975","02/27/1975","7502559","Yoh-Han","Pao","03/01/1975","Principal Investigator","Case Western Reserve University","CLEVELAND","441064901","2163684510","Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,"1407","Combustion & Fire Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","Electrode Properties and the Measurement of Bioelectric Phenomena","03/15/1975","08/31/1977","80000","Standard Grant","07010000","Directorate For Engineering","Div Of Electrical, Commun & Cyber Sys","name not available","03/20/1975","03/20/1975","7502562",NA,"DATA NOT AVAILABLE","03/15/1975","Principal Investigator","Massachusetts Institute of Technology","Cambridge","021394301","6172531000","77 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,"1451","AUTO, INSTRUMENT & SENSING SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","Calculations For Non-Viscometric Polymer Flows","04/01/1975","03/31/1978","54700","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","03/27/1975","09/27/1977","7502563","Bruce","Finlayson","04/01/1975","Principal Investigator","University of Washington","Seattle","981950001","2065434043","4333 Brooklyn Ave NE","United States","Washington","WA",NA,NA,"finlayson@cheme.washington.edu",NA,NA,"1402","BIOCHEMICAL & BIOMASS ENG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Optimal Power Network Design Using Computer Aided Design Techniques","01/15/1975","06/30/1978","69300","Standard Grant","05040003","Direct For Computer & Info Scie & Enginr","Division of Microelectronic Information Processing Systems","name not available","12/31/1974","03/09/1977","7502564","Robert","Sullivan","01/15/1975","Principal Investigator","University of Florida","GAINESVILLE","326112002","3523923516","1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,"sullivan@fit.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","The Effect of Mass Transfer on the Breakup of Liquid Jets","09/15/1975","06/30/1979","83883","Continuing grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","08/13/1975","01/04/1978","7502571","John","Berg","09/15/1975","Principal Investigator","University of Washington","Seattle","981950001","2065434043","4333 Brooklyn Ave NE","United States","Washington","WA",NA,NA,NA,NA,NA,"1443","FLUID DYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","Graphics in Basic--Definition and Implementation of a Standard Syntax For Graphical Operations in the Language Basic","11/01/1974","06/30/1976","31300","Standard Grant","05020300","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","01/15/1975","05/10/1976","7502577","Arthur","Luehrmann","11/01/1974","Principal Investigator","Dartmouth College","HANOVER","037551404","6036463007","OFFICE OF SPONSORED PROJECTS","United States","New Hampshire","NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","Upgrading the Millstone Hill Radar For International Magnetosphere Studies","06/01/1975","07/31/1978","629900","Standard Grant","06020201","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","06/11/1975","03/16/1977","7502579",NA,"DATA NOT AVAILABLE","06/01/1975","Principal Investigator","Lincoln Laboratory","Lexington","02139",NA,NA,"United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","A Pre-College Instructional Improvement Implementation Project","01/15/1975","08/31/1976","0","Standard Grant","05010200","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available",NA,NA,"7502583","Joshua","Barlaz","01/15/1975","Principal Investigator","Rutgers University New Brunswick","Piscataway","088543925","8489320150","33 Knightsbridge Road","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Biosynthesis and Distribution of Cytokinins in Plant Ribonucleic Acid Preparations","05/01/1975","10/31/1977","50000","Standard Grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","04/24/1975","04/24/1975","7502588","Donald","Armstrong","05/01/1975","Principal Investigator","Oregon State University","Corvallis","973318507","5417374933","OREGON STATE UNIVERSITY","United States","Oregon","OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","Cytokinin in the Regulation of Growth in Cultured Soybean Cells","01/01/1975","06/30/1977","58000","Standard Grant","08090100","Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","12/18/1974","12/18/1974","7502599","Donald","Fosket","01/01/1975","Principal Investigator","University of California-Irvine","Irvine","926173213","9498247295","141 Innovation Drive, Ste 250","United States","California","CA",NA,NA,NA,NA,NA,"1111","DEVELOPMENTAL SYSTEMS CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","Polyphaga: a Study in Diversity","01/01/1975","06/30/1978","35800","Standard Grant","08010207","Direct For Biological Sciences","Division Of Environmental Biology","name not available","12/31/1974","05/16/1977","7502606","John","Lawrence","01/01/1975","Principal Investigator","Harvard University","Cambridge","021385366","6174955501","1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","Water Relations in Phytophthora Root Rot of Safflower","06/01/1975","11/30/1977","32000","Standard Grant","08090300","Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","04/24/1975","04/24/1975","7502607","John","Duniway","06/01/1975","Principal Investigator","University of California-Davis","Davis","956186134","5307547700","OR/Sponsored Programs","United States","California","CA",NA,NA,"PlantPath@UCDavis.edu",NA,NA,"1141","PHYSIOLOG & STRUCTURAL SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Computer Methodology in Neurosciences","05/15/1975","04/30/1978","138200","Standard Grant","05010003","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","04/07/1975","02/01/1978","7502612","Jacques","Vidal","05/15/1975","Principal Investigator","University of California-Los Angeles","LOS ANGELES","900951406","3107940102","10889 Wilshire Boulevard","United States","California","CA",NA,NA,"vidal@cs.ucla.edu",NA,NA,"2823","INTELLIGENT SYSTEMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
