"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.1","Award.Investigator.FirstName.2","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.ProgramElement.Code.7","Award.ProgramElement.Text.6","Award.ProgramElement.Code.8","Award.ProgramElement.Text.7","Award.ProgramElement.Code.9","Award.ProgramElement.Text.8","Award.ProgramElement.Code.10","Award.ProgramElement.Text.9","Award.ProgramElement.Code.11","Award.ProgramElement.Text.10","Award.ProgramElement.Code.12","Award.ProgramElement.Text.11","Award.ProgramElement.Code.13","Award.ProgramElement.Text.12","Award.ProgramElement.Code.14","Award.ProgramElement.Text.13","Award.ProgramElement.Code.15","Award.ProgramElement.Text.14","Award.ProgramElement.Code.16","Award.ProgramElement.Text.15","Award.ProgramElement.Code.17","Award.ProgramElement.Text.16","Award.ProgramElement.Code.18","Award.ProgramElement.Text.17","Award.ProgramElement.Code.19","Award.ProgramElement.Text.18","Award.ProgramElement.Code.20","Award.ProgramElement.Text.19","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.ProgramElement.Code.27","Award.ProgramElement.Text.20","Award.ProgramElement.Code.28","Award.ProgramElement.Text.21","Award.ProgramElement.Code.29","Award.ProgramElement.Text.22","Award.ProgramElement.Code.30","Award.ProgramElement.Text.23","Award.ProgramElement.Code.31","Award.ProgramElement.Text.24","Award.ProgramElement.Code.32","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"324",324,"Ecology of the Greater Sandhill Crane","06/01/1972","05/31/1975",26000,"Continuing grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","05/18/1972","03/29/1974",7202151,"Jochen","DATA NOT AVAILABLE","06/01/1972","Principal Investigator","University of Idaho","MOSCOW",838443020,2088856651,"Office of Sponsored Programs","United States","Idaho","ID",NA,NA,"DATA NOT AVAILABLE","06/01/1972","Co-Principal Investigator","Kummerow","06/01/1972","Co-Principal Investigator","Lauff","06/01/1972","Co-Principal Investigator",NA,NA,NA,"George",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,"Pigment Deficient Mutants of Helianthus Annuus","06/01/1972","12/31/1976",34500,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","05/30/1972","01/13/1976",7202156,"Helen","Habermann","06/01/1972","Principal Investigator","Goucher College","Baltimore",212042753,4103376044,"1021 Dulaney Valley Road","United States","Maryland","MD",1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",326,"Advisory Committee For the Evaluation of Systematic Biology Collections in the United States","07/01/1972","12/31/1975",20000,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","06/23/1972","01/09/1975",7202164,"Kyran","McGrath","07/01/1972","Principal Investigator","American Association of Museums","Washington",200053914,2022891818,"1225 Eye St. NW, Suite 200","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",327,"Catalytic and Regulatory Mechanisms in Key Enzymes of Aspartate and Glutamate Metabolism","06/01/1972","02/28/1977",46500,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","06/19/1972","01/27/1977",7202165,"Betty","Maxfield","06/01/1972","Principal Investigator","Rensselaer Polytechnic Institute","Troy",121803522,5182766000,"110 8TH ST","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",328,"Operational Support For the University of Michigan Biological Station","05/15/1972","09/30/1975",67200,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","05/22/1972","02/21/1975",7202167,"Frank H.","Rhodes","05/15/1972","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,7347636438,"3003 South State St. Room 1062","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",329,"Origin and Coding of Position Information From Limbs","09/01/1972","08/31/1975",40000,"Standard Grant",8030101,"Direct For Biological Sciences","Division of Behavioral & Neural Sciences","name not available","06/30/1972","08/09/1974",7202168,"Francis","Clark","09/01/1972","Principal Investigator","University of Nebraska Medical Center","Omaha",681987835,4025597456,"987835 Nebraska Medical Center","United States","Nebraska","NE",1170,"NEUROBIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",330,"Mechanism and Regulation of Amp-Nucleosidase Activity","07/01/1972","03/31/1977",40000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","06/20/1972","06/20/1972",7202172,"Vern","Schramm","07/01/1972","Principal Investigator","Temple University","PHILADELPHIA",191405104,2157077379,"3340 N. Broad Street","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",331,"Cytogenetic Studies of Drosophila Melanogaster","07/01/1972","08/31/1977",85900,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","06/16/1972","10/15/1976",7202178,"Burke","Judd","07/01/1972","Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",332,"Soil, Water and Plant Interactions With Pesticides","09/01/1972","02/28/1977",119000,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","07/21/1972","08/21/1973",7202179,"E.","Lichtenstein","09/01/1972","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,6082623822,"21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",333,"Tropical Animal-Plant Interactions- Spatial and Chemical Aspects of Herbivory and Seed Predation","09/01/1972","02/29/1976",141420,"Continuing grant",8010208,"Directorate for Biological Sciences","Division of Environmental Biology","name not available","08/24/1972","06/30/1975",7202181,"Daniel","Janzen","09/01/1972","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,1128,"POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",334,"Genetic and Biochemical Studies on Aromatic Metabolism in Selected Photosynthetic Organisms","07/01/1972","12/31/1976",40000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","06/26/1972","08/29/1975",7202182,"Norman","Giles","07/01/1972","Principal Investigator","University of Georgia","Athens",306021589,7065425939,"310 East Campus Rd","United States","Georgia","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",335,"Microbial Ecology of Extreme Environments","09/01/1972","01/31/1978",74600,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","07/21/1972","01/01/1900",7202186,"Thomas","Brock","09/01/1972","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,6082623822,"21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",336,"Protein Interactions","09/01/1972","08/31/1978",135000,"Continuing grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","07/26/1972","01/04/1978",7202204,"Irving","Klotz","09/01/1972","Principal Investigator","Northwestern University","Evanston",602013149,8474913003,"1801 Maple Ave.","United States","Illinois","IL",1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",337,"Structural and Physico-Chemical Studies of Cytochrome 'c1'","09/01/1972","01/31/1978",74000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","07/28/1972","08/04/1977",7202205,"Tsoo","King","09/01/1972","Principal Investigator","SUNY at Albany","Albany",122220100,5184374550,"1400 WASHINGTON AVE","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",338,"Structure of Vascular Tissues in Healthy and Virus-Infected Plants","09/01/1972","08/31/1977",59200,"Standard Grant",8090100,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","07/26/1972","01/22/1975",7202207,"Katherine","Esau","09/01/1972","Principal Investigator","University of California-Santa Barbara","Santa Barbara",931062050,8058934188,"Office of Research","United States","California","CA",1111,"DEVELOPMENTAL SYSTEMS CLUSTER","Cheadle","09/01/1972","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vernon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",339,"Structure and Immunology of Yeast Cell Wall Mannans","09/01/1972","02/29/1976",24000,"Continuing grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","07/27/1972","07/27/1972",7202208,"Clinton","Ballou","09/01/1972","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",340,"Biosystematic and Chemosystematic Investigations in Ruellia And Other Acanthaceae","09/01/1972","09/30/1977",83164,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/04/1972","02/28/1975",7202209,"Robert","Long","09/01/1972","Principal Investigator","University of South Florida","Tampa",336129446,8139742897,"3702 Spectrum Blvd.","United States","Florida","FL",1127,"EVOLUTIONARY PROCESSES CLUSTER","Mansell","09/01/1972","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",341,"Multivariate Geographic Variation Studies in the Genus 'pemPhigus'","09/01/1972","02/28/1978",140600,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","07/28/1972","09/01/1976",7202211,"Robert","Sokal","09/01/1972","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",342,"Analysis and Representation of Structure in Taxonomic Data","09/01/1972","08/31/1978",100000,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","07/28/1972","10/19/1977",7202212,"F. James","Rohlf","09/01/1972","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",343,"The Evolution and Peleontology of 'cerion' in the Bahama Islands","09/01/1972","07/31/1977",120168,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/17/1972","01/31/1975",7202213,"Stephen","Gould","09/01/1972","Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",344,"Physiology of Senescence in Leaves","09/01/1972","02/28/1977",35000,"Continuing grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","07/27/1972","09/01/1976",7202215,"Kenneth","Thimann","09/01/1972","Principal Investigator","University of California-Santa Cruz","Santa Cruz",950641077,8314595278,"1156 High Street","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",345,"Properties of Neurosecretory Cells and Certain Neurosecretory Systems","09/01/1972","02/29/1976",70900,"Continuing grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","07/26/1972","07/26/1972",7202216,"Howard","Bern","09/01/1972","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",346,"Comparative Physiology and Biochemistry of Vertebrate Pituitary Gonadotropins","09/01/1972","02/29/1976",99600,"Continuing grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","07/28/1972","07/28/1972",7202217,"Paul","Licht","09/01/1972","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",347,"Immunochemical Studies on Polysaccharides","09/01/1972","10/31/1977",360000,"Continuing grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","08/01/1972","08/01/1976",7202219,"Elvin","Kabat","09/01/1972","Principal Investigator","Columbia University","NEW YORK",100276902,2128546851,"2960 Broadway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",348,"Cyclic Amp Mediated Adrenergic Influences in Hypersensitivity Control Mechanisms","09/01/1972","08/31/1975",50700,"Continuing grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","08/09/1972","08/09/1972",7202220,"Andor","Szentivanyi","09/01/1972","Principal Investigator","University of South Florida","Tampa",336129446,8139742897,"3702 Spectrum Blvd.","United States","Florida","FL",1141,"PHYSIOLOG & STRUCTURAL SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",349,"Mechanism of Circadian and Tidal Rhythmicity in Unicellular Algae","09/01/1972","01/31/1978",74000,"Standard Grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","07/26/1972","05/22/1975",7202221,"Beatrice","Sweeney","09/01/1972","Principal Investigator","University of California-Santa Barbara","Santa Barbara",931062050,8058934188,"Office of Research","United States","California","CA",1141,"PHYSIOLOG & STRUCTURAL SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",350,"Molecular Mechanisms in Cytodifferentiation","09/01/1972","02/28/1978",283000,"Continuing grant",8090100,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","07/28/1972","08/27/1976",7202222,"William","Rutter","09/01/1972","Principal Investigator","University of California-San Francisco","San Francisco",941034249,4154762977,"1855 Folsom St Ste 425","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",351,"Regulatory Functions of a Viral Glycoprotein","09/01/1972","02/28/1978",122000,"Continuing grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","08/01/1972","09/01/1976",7202223,"Robert","Wagner","09/01/1972","Principal Investigator","University of Virginia Main Campus","CHARLOTTESVILLE",229044195,4349244270,"P.O. BOX 400195","United States","Virginia","VA",1141,"PHYSIOLOG & STRUCTURAL SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
