"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11"
"89",89,"Support of Travel of U. S. Participants to the Twenty-Fifth International Congress of Physiological Sciences in Munich, Germany, July 25-31, 1971","01/01/1971","12/31/1971",10000,"BOA/Task Order",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","11/20/1970","11/20/1970",7001030,"Jeremy","Taylor","01/01/1971","Principal Investigator","National Academy of Sciences","Washington","200012721",2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"T.O. For Partial Supp of Travel of Two U.S. Parti- Partici To the Internat:l Hydro Decade Rel Symp in in Wellington, New Zealand, 12/1-8/70","11/23/1970","06/30/1971",1890,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","12/16/1970","12/16/1970",7001031,"L.","Heindl","11/23/1970","Principal Investigator","National Academy of Sciences","Washington","200012721",2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,5931,"INTERNATIONAL INFO & ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"Task Order For a Project to Coordinate and Encourage the Development of Computing Systems For Use in Chemical Engineering Education","01/01/1971","12/31/1975",173944,"BOA/Task Order",3000000,"Direct For Mathematical & Physical Scien","Direct For Mathematical & Physical Scien","name not available","01/28/1971","04/27/1973",7001032,"Jeremy","Taylor","01/01/1971","Principal Investigator","National Academy of Engineering Commission on Education","Washington","20418",NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,"Task Order For International Conference on Molecular Energy Transfer","02/01/1971","10/31/1971",5000,"BOA/Task Order",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","02/05/1971","02/05/1971",7001033,"Martin","Paul","02/01/1971","Principal Investigator","National Research Council","WASHINGTON","204180006",NA,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"Contract For the Processing of Information Related to the Proposal Receipt, Evaluation, and Award Procedures of the National Science Foundation's Science Education Programs","06/01/1970","08/31/1971",123680,"Contract",5010300,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","05/21/1970","02/12/1971",7001034,"Jeremy","Taylor","06/01/1970","Principal Investigator","Exotech Systems Inc","Falls Church","22041",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,"Contract For Furnishing of Services in Support of Research Programs Conducted Aboard the Usns Eltanin","12/16/1969","05/31/1975",1832570,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","12/11/1969","12/11/1972",7001039,"Walter","Smolen","12/16/1969","Principal Investigator","Alpine Geophysical Associates","Norwood","07648",NA,NA,"United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,"SYST OR FEAS STUDS, SYST CONCEP DESIGN STUDS, SYST SYS ANAL,SYST DESIGN, COMP PROG, KEYPUNCH, SYS & DOCUM, INIT MONITOR SYST PERFO&OTHR REL SERV REL SER","06/24/1970","06/30/1971",500,"BOA/Task Order",NA,NA,NA,"name not available","06/24/1970","06/24/1970",7001042,NA,NA,"06/24/1970","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"SYST OR FEAS STUDS, SYST CONCEP DESIGN STUD, SYST SYS ANAL, SYS DESIGN COMP PROG, KEYPUNCH, SYS OPER OPER DOCUM, INIT MONITOR SYST PERFO&OTHR REL SERV","06/24/1970","06/30/1971",500,"BOA/Task Order",NA,NA,NA,"name not available","06/24/1970","06/24/1970",7001047,NA,NA,"06/24/1970","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"SYST OR FEAS STUDS, SYST CONCEP DESIGN STUDS, SYST SYS ANAL,SYS DESIGN, COMP PROG, KEYPUNCH SYS OPER DOCUM, INIT MONITORSYST PERF&OTHR REL SERV REL SER","06/24/1970","06/30/1971",500,"BOA/Task Order",NA,NA,NA,"name not available","06/24/1970","06/24/1970",7001049,NA,NA,"06/24/1970","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"Contract For the Arctic Ice Dynamics Joint Experiment (Aidjex)","07/01/1970","12/31/1977",4348553,"Contract",6090000,"Directorate For Geosciences","Division Of Polar Programs","name not available","06/26/1970","08/18/1977",7001053,"Norbert","Untersteiner","07/01/1970","Principal Investigator","University of Washington","Seattle","981950001",2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA",NA,NA,NA,NA,5200,"ARCTIC RESEARCH PROGRAM",5214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METEOROLOGY (ARCTIC RESEARCH)",NA,NA,NA,NA,NA,NA,NA,NA,5222,"MARINE ECOSYSTEMS STUDIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5271,"ARCTIC OFFSHORE RES PROG",5740,"CLIMATE & LARGE-SCALE DYNAMICS",NA,NA,NA,NA,NA,NA,NA
"99",99,"Contract For the Operation and Maintenance of the Economics Section of the National Register of Scientific and TechnicalPersonnel","10/01/1970","09/30/1971",21736,"Contract",4030101,"Direct For Social, Behav & Economic Scie","National Center For S&E Statistics","name not available","10/22/1970","10/22/1970",7001056,"Harold","Williamson","10/01/1970","Principal Investigator","American Economic Association","Nashville","372032425",6153222595,"2014 Broadway Suite 305","United States","Tennessee","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"Contract For a Study to Assess Technology Assessment","10/14/1970","04/30/1971",75000,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","10/14/1970","10/14/1970",7001057,"Felix","Rimberg","10/14/1970","Co-Principal Investigator","Peat Marwick Mitchell and Co DC","Washington","200061103",2022239525,"1990 K St NW","United States","District of Columbia","DC","Robert","Morton","10/14/1970","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"Contract For the Baffin Bay - North Water Research Program","04/01/1971","06/30/1974",112375,"Contract",6090000,"Directorate For Geosciences","Division Of Polar Programs","name not available","04/13/1971","08/19/1977",7001058,"John","Sater","04/01/1971","Principal Investigator","Arctic Institute North America","Calgary","T2N 1N4",4032207515,"2500 University Dr NW, ES-1040","Canada",NA,NA,"Fritz","Muller","04/01/1971","Co-Principal Investigator",5280,"ARCTIC NATURAL SCIENCES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"Vibrio Parahaemolyticus in Chesapeake Bay- Isolation, Incidence and Pathogenicity","06/15/1970","06/30/1972",47400,"Standard Grant",6040000,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","06/05/1970","06/05/1970",7001073,"Rita","Colwell","06/15/1970","Principal Investigator","Georgetown University","Washington","200571789",2026250100,"37th & O St N W","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,"Design and Management of Environmental Systems","07/01/1970","12/31/1976",1926400,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/24/1970","05/19/1975",7001077,"Herman","Koenig","07/01/1970","Principal Investigator","Michigan State University","East Lansing","488242600",5173555040,"Office of Sponsored Programs","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,"Fire Safety in Urban Housing","05/01/1971","06/30/1976",665600,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","04/19/1971","12/31/1975",7001080,"Robert","Williamson","05/01/1971","Principal Investigator","University of California-Berkeley","BERKELEY","947045940",5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,"Computer Use For Macro-Policy Simulation","06/03/1970","06/30/1976",87900,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","06/03/1970","07/22/1974",7001087,"Merton","DATA NOT AVAILABLE","06/03/1970","Principal Investigator","Yale University","New Haven","065208327",2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",NA,"Peck","06/03/1970","Co-Principal Investigator",0,"ALT IN HIGHER ED - MAT",7220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"Improvement of Computing Services- Lynchburg, Sweet BriaR and Randolph-Macon Woman's Colleges","07/28/1970","07/31/1973",150000,"Standard Grant",3040000,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","07/28/1970","07/28/1970",7001089,NA,"DATA NOT AVAILABLE","07/28/1970","Principal Investigator","Lynchburg College","Lynchburg","245010000",4345448200,"1501 Lakeside Drive","United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,"Computer Science Research","02/01/1971","01/31/1973",137700,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","12/29/1970","12/29/1970",7001102,"John","Bruno","02/01/1971","Co-Principal Investigator","New York University","NEW YORK","100121019",2129982121,"70 WASHINGTON SQUARE S","United States","New York","NY","Melvin","Klerer","02/01/1971","Principal Investigator",2814,"SOFTWARE SYSTEMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"Models and Measurements of Computer Systems","03/05/1971","03/31/1977",134200,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","03/05/1971","10/11/1973",7001106,NA,"DATA NOT AVAILABLE","03/05/1971","Principal Investigator","University of Virginia Main Campus","CHARLOTTESVILLE","229044195",4349244270,"P.O. BOX 400195","United States","Virginia","VA",NA,NA,NA,NA,2815,"COMPUTER SYSTEMS DESIGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"Experiment in the Development of a Regional Computer Center","04/01/1970","12/31/1972",6400,"Standard Grant",5020300,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","04/27/1970","04/12/1971",7001108,"Khidhir","Hamza","04/01/1970","Principal Investigator","Fort Valley State University","Fort Valley","310304313",4788256253,"1005 State University Drive","United States","Georgia","GA",NA,"DATA NOT AVAILABLE","04/01/1970","Co-Principal Investigator",2830,"COMPUTER RESEARCH EQUIPMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,"Design of Distributed Computing Systems","07/01/1971","12/31/1976",553400,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","04/02/1971","04/17/1974",7001116,"David","DATA NOT AVAILABLE","07/01/1971","Co-Principal Investigator","University of California-Irvine","Irvine","926173213",9498247295,"141 Innovation Drive, Ste 250","United States","California","CA",NA,"Farber","07/01/1971","Principal Investigator",2815,"COMPUTER SYSTEMS DESIGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,"Design and Analysis of Computer Operating Systems","09/02/1970","09/30/1974",173000,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","09/02/1970","09/01/1972",7001127,"James","Browne","09/02/1970","Principal Investigator","University of Texas at Austin","Austin","787121532",5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,"Experiment in Utilizing Mini-Computer Facilities For InstruCtional Purposes","08/01/1970","07/31/1973",18000,"Standard Grant",5000100,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","08/07/1970","08/07/1970",7001139,NA,"DATA NOT AVAILABLE","08/01/1970","Principal Investigator","Maryville College","Maryville","378045907",8657890127,"502 East Lamar Alexander Parkway","United States","Tennessee","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"Experiment in Utilizing Mini-Computer Facilities For InstruCtional Purposes","08/01/1970","07/31/1973",64000,"Standard Grant",5000100,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","08/07/1970","08/07/1970",7001140,NA,"DATA NOT AVAILABLE","08/01/1970","Principal Investigator","Macmurray College","Chicago","626502590",2172456151,"East College Avenue","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,"Experiment in Utilizing Mini-Computer Facilities For InstruCtional Purposes","08/01/1970","07/31/1973",29000,"Standard Grant",5000100,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","08/07/1970","08/07/1970",7001142,"Jeremy","Taylor","08/01/1970","Principal Investigator","Canisius College","Buffalo","142081098",7168882103,"2001 Main Street","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"Experiment in Utilizing Mini-Computer Facilities For InstruCtional Purposes","08/01/1970","07/31/1973",33000,"Standard Grant",5000100,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","08/07/1970","08/07/1970",7001145,NA,"DATA NOT AVAILABLE","08/01/1970","Principal Investigator","Benedictine University","Lisle","605320900",6308296004,"5700 College Road","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,"An Experiment to Determine the Educational Services DemandedBy Users of a Multicomputer Network","03/01/1971","08/31/1973",220000,"Standard Grant",3040000,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/09/1971","01/15/1976",7001153,"Philip","Morse","03/01/1971","Co-Principal Investigator","New England Regional Computing Program","Cambridge","02139",NA,NA,"United States","Massachusetts","MA","Karen","Morse","03/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,"Experiment in Utilizing Mini-Computer Facilities For InstruCtional Purposes","08/01/1970","07/31/1973",39000,"Standard Grant",5000100,"Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","08/07/1970","08/07/1970",7001154,NA,"DATA NOT AVAILABLE","08/01/1970","Principal Investigator","Erskine College","Due West","296390306",8643792131,"Two Washington Street","United States","South Carolina","SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"New Jersey Educational Computing Network","08/01/1970","07/31/1972",7400,"Standard Grant",5020300,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","08/20/1970","08/20/1970",7001165,"Anthony","Notare","08/01/1970","Principal Investigator","Kean University","Union","070837131",9087373461,"1000 Morris Avenue","United States","New Jersey","NJ",NA,NA,NA,NA,2830,"COMPUTER RESEARCH EQUIPMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"Transient Response and Stability Characteristics of Reactions on Supported Catalysts","12/01/1970","06/30/1977",124300,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/19/1970","11/08/1976",7001206,"Kumares","Sinha","12/01/1970","Co-Principal Investigator","Northwestern University","Evanston","602013149",8474913003,"1801 Maple Ave.","United States","Illinois","IL","Dietrich","Vincent","12/01/1970","Principal Investigator",1410,"ENG SCI IN CHEM,BIOCHEM & THER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,"An Experimental and Theoretical Study of the Physical Adsorption of Gas Mixtures","06/01/1971","12/31/1976",63100,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/07/1971","08/29/1973",7001233,"Ronald","Danner","06/01/1971","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK","168027000",8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"Hyperbolic Shells With Discrete Support Systems","09/01/1970","02/28/1977",116100,"Standard Grant",7080000,"Directorate For Engineering",NA,"name not available","08/04/1970","11/20/1975",7001264,"Phillip","Gould","09/01/1970","Principal Investigator","Washington University","Saint Louis","631304862",3147474134,"CAMPUS BOX 1054","United States","Missouri","MO",NA,NA,NA,NA,1430,"MECHANICAL SCIENCES & ENG-RES.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,"Cyclotron Wave Warm Plasma Studies","09/01/1971","08/31/1977",113700,"Standard Grant",3030200,"Direct For Mathematical & Physical Scien",NA,"name not available","07/26/1971","10/11/1973",7001299,"John","Scharer","09/01/1971","Principal Investigator","University of Wisconsin-Madison","MADISON","537151218",6082623822,"21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,"Transport Phenomena of Polyatomic Gases","11/15/1970","08/31/1973",71800,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/05/1970","08/13/1974",7001317,"W.","Honeywell","11/15/1970","Principal Investigator","University of Houston","Houston","772042015",7137435773,"4800 Calhoun Boulevard","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
