"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"371",371,"Low Temperature Research","09/24/1973","05/31/1977",137000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/24/1973","10/22/1975",7302461,"Richard","Packard","09/24/1973","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",372,"The Establishment of a Titanium Center","04/23/1974","02/28/1978",150000,"Continuing grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/23/1974","09/01/1976",7302463,"A.","Clauer","04/23/1974","Co-Principal Investigator","Battelle Memorial Institute","Columbus",432012693,4103068510,"505 KING AVE","United States","Ohio","OH",1730,"SPECIAL PROGRAMS IN MATERIALS","A.","Rosenfield","04/23/1974","Co-Principal Investigator","Taylan","Altan","04/23/1974","Principal Investigator",1771,NA,"METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",373,"Ultra-High Purity Transition Metals and Alloys Andmiltiphase Composites Through Solidification","09/15/1973","04/30/1977",100000,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/06/1973","10/23/1975",7302466,"Ben","Oliver","09/15/1973","Principal Investigator","University of Tennessee Knoxville","KNOXVILLE",379960003,8659743466,"1 CIRCLE PARK","United States","Tennessee","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",374,"Elasticity Theory","09/01/1973","02/28/1977",67700,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/10/1973","08/29/1975",7302469,"Bruce","Eichinger","09/01/1973","Principal Investigator","University of Washington","Seattle",981950001,2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA",1720,"SOLID-STATE CHEMSTRY & POLYMRS",NA,NA,NA,NA,NA,NA,NA,NA,1773,NA,"POLYMERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",375,"Light Scattering in Magnetic Semiconductors","11/01/1973","04/30/1978",164180,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/23/1973","11/21/1977",7302473,"Mildred","Dresselhaus","11/01/1973","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1772,NA,"CERAMICS & ELECTRONIC MATERIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",376,"Spectroscopic Properties of Magnetically Ordered Materials","08/15/1973","05/12/1977",142800,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","08/21/1973","08/12/1975",7302478,"William","Yen","08/15/1973","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,6082623822,"21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",377,"A Study of Ferroelectrics By Light Scattering Witha Focus On the Soft Phonon Self-Energy","04/01/1974","11/30/1977",58100,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/22/1974","04/27/1976",7302480,"Sukekatsu","Ushioda","04/01/1974","Principal Investigator","University of California-Irvine","Irvine",926173213,9498247295,"141 Innovation Drive, Ste 250","United States","California","CA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",378,"Microwave Phenomena in Solids","09/01/1973","04/30/1978",125800,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/11/1973","10/03/1975",7302484,NA,"DATA NOT AVAILABLE","09/01/1973","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,2158987293,"Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",379,"The Assessment of Sequence Distribution-Property Relationships in Selected Acrylonitrile Copolymer Systems","05/07/1974","07/31/1977",75900,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","05/07/1974","02/05/1976",7302486,"William","Ritchey","05/07/1974","Principal Investigator","Case Western Reserve University","CLEVELAND",441064901,2163684510,"Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",380,"Studies of Electronic Energy Levels in ParamagnetIc Crystals","09/01/1973","08/31/1977",104000,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","08/01/1973","03/04/1976",7302487,"John","Stout","09/01/1973","Principal Investigator","University of Chicago","Chicago",606375418,7737028669,"5801 South Ellis Avenue","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",381,"To Attend-Third International Conference on Chemical Thermo Dynamics Baden,austria September 03-07,1973","01/01/1900","06/30/1900",705,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","07/25/1973","07/25/1973",7302498,"William","DATA NOT AVAILABLE","01/01/1900","Principal Investigator","Travel Award","Arlington",22230,NA,NA,"United States","Virginia","VA",NA,NA,NA,"Spicer","01/01/1900","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",382,"Ultrasonic Effects in Magnetic Materials","01/01/1974","04/30/1977",87800,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/01/1974","11/04/1975",7302507,"James","Miller","01/01/1974","Principal Investigator","Washington University","Saint Louis",631304862,3147474134,"CAMPUS BOX 1054","United States","Missouri","MO",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",383,"The Axial Ratios of Matensite and Their Dependence on Point Defects","09/15/1973","02/28/1978",146700,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/11/1973","08/26/1975",7302508,"Peter","Winchell","09/15/1973","Principal Investigator","Purdue University","West Lafayette",479072114,7654941055,"Young Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",384,"Theory of Paraelectric Defects and Linear Response","09/01/1973","02/28/1978",87300,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","08/16/1973","09/08/1975",7302516,"B.","Dick","09/01/1973","Principal Investigator","University of Utah","SALT LAKE CITY",841128930,8015816903,"75 S 2000 E","United States","Utah","UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",385,"Correlations in Magnetic Systems","11/01/1973","03/31/1978",91200,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/09/1973","11/01/1977",7302517,"Martin","DATA NOT AVAILABLE","11/01/1973","Co-Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",1710,"CONDENSED MATTER PHYSICS",NA,"Blume","11/01/1973","Principal Investigator",NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",386,"Development of Extended X-Ray Absorption Fine Structure","12/15/1973","06/30/1978",243000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/09/1974","01/24/1977",7302521,"Edward","Stern","12/15/1973","Principal Investigator","University of Washington","Seattle",981950001,2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",387,"Crystal Physical and Crystal Chemical Study of Pure and SUbstituted Fe(3)0(4)- Magnetic, Electrical, Thermal, & Phase Transitional Properties","01/01/1974","10/31/1977",94500,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/02/1974","05/14/1976",7302525,"Billy Joe","Evans","01/01/1974","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,7347636438,"3003 South State St. Room 1062","United States","Michigan","MI",NA,NA,"Edgar","Westrum","01/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",388,"Nucleation of Solid-State Transformations","09/15/1973","02/28/1977",81900,"Continuing grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/05/1973","08/19/1975",7302527,"Morris","Cohen","09/15/1973","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1771,NA,"METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",389,"Electric Field Effect on Mobility of Glass Constituents","10/01/1973","03/31/1978",130000,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/01/1973","09/25/1975",7302536,"Minoru","Tomozawa","10/01/1973","Principal Investigator","Rensselaer Polytechnic Institute","Troy",121803522,5182766000,"110 8TH ST","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",390,"Physical Chemistry of High Polymers","09/01/1971","02/28/1977",152800,"Continuing grant",3070007,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","07/22/1971","09/05/1975",7302538,"Walter","Stockmayer","09/01/1971","Principal Investigator","Dartmouth College","HANOVER",37551404,6036463007,"OFFICE OF SPONSORED PROJECTS","United States","New Hampshire","NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",391,"Fluids As Nuclei and Electrons","11/01/1973","01/31/1978",99200,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/14/1973","08/08/1977",7302542,"Arthur","Broyles","11/01/1973","Principal Investigator","University of Florida","GAINESVILLE",326112002,3523923516,"1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",392,"Electronic Correlations in Narrow Bands","11/01/1973","10/31/1975",21000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/26/1973","06/04/1975",7302544,"John","Hertz","11/01/1973","Principal Investigator","University of Chicago","Chicago",606375418,7737028669,"5801 South Ellis Avenue","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",393,"Phonon Spectroscopy in Rare-Earth Metals and Alloys","12/03/1973","08/31/1978",92000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/03/1973","03/30/1976",7302551,"Howard","Blackstead","12/03/1973","Principal Investigator","University of Notre Dame","NOTRE DAME",465565708,5746317432,"940 Grace Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",394,"Critical Phenomena and Phase Transitions","05/16/1974","11/30/1976",31000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","05/16/1974","05/16/1974",7302552,NA,"DATA NOT AVAILABLE","05/16/1974","Principal Investigator","University of Pittsburgh","Pittsburgh",152132303,4126247400,"University Club","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",395,"Experimental Investigation of the Electronic Structure Of the Solid Rare Gases","09/01/1973","08/31/1977",60000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","08/23/1973","03/01/1977",7302554,"Kenneth","Teegarden","09/01/1973","Principal Investigator","University of Rochester","Rochester",146270140,5852754031,"518 HYLAN, RC BOX 270140","United States","New York","NY",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",396,"Interpenetrating Polymer Networks and Polyblends","10/15/1973","03/31/1978",139400,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/27/1973","07/08/1977",7302555,"Leslie","Sperling","10/15/1973","Principal Investigator","Lehigh University","Bethlehem",180153005,6107583021,"Alumni Building 27","United States","Pennsylvania","PA",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1773,NA,"POLYMERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",397,"Positron, Electron and Photon Experiments","09/01/1973","02/28/1977",129300,"Continuing grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","08/13/1973","08/28/1975",7302563,"Stephan","Berko","09/01/1973","Principal Investigator","Brandeis University","WALTHAM",24532728,7817362121,"415 SOUTH ST MAILSTOP 116","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398",398,"Experiments on the New Phase of Liquid Helium 3","11/01/1973","04/30/1977",72000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","11/05/1973","05/14/1976",7302567,"Robert","Guernsey","11/01/1973","Principal Investigator","Columbia University","NEW YORK",100276902,2128546851,"2960 Broadway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",399,"Band Theory of Ferromagnetic Metals","01/01/1974","06/30/1977",75000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/02/1974","12/10/1975",7302572,"Joseph","Callaway","01/01/1974","Principal Investigator","Louisiana State University & Agricultural and Mechanical College","Baton Rouge",708032701,2255782760,"202 Himes Hall","United States","Louisiana","LA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",400,"Magnetic Properties and Phase Relations in Directionally Solidified and Thin Film M(N)b(I)","04/15/1974","11/30/1977",130100,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/15/1974","05/03/1976",7302574,"Michael","Notis","04/15/1974","Principal Investigator","Lehigh University","Bethlehem",180153005,6107583021,"Alumni Building 27","United States","Pennsylvania","PA",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1771,NA,"METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",401,"Measurements of the Dependence of the Elastic Constants Of Structural Materials Upon Hydrogen Additions","12/01/1973","09/30/1978",142800,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","11/19/1973","09/23/1977",7302581,"Charles","Wert","12/01/1973","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1771,NA,"METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",402,"Theoretical Studies in Solid State","11/01/1973","04/30/1978",53900,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/26/1973","11/13/1975",7302582,"Michael","Schick","11/01/1973","Principal Investigator","University of Washington","Seattle",981950001,2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",403,"Basic New Method of Multicomponent Phase Analysis","01/01/1974","12/31/1977",79200,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/15/1974","04/26/1976",7302585,"Albert","Guy","01/01/1974","Principal Investigator","University of Florida","GAINESVILLE",326112002,3523923516,"1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",404,"Ultra High Strength Generation in Cement and Concrete","01/23/1974","01/31/1977",69100,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/23/1974","09/13/1976",7302586,"Della","Roy","01/23/1974","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
