"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.Investigator.FirstName.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.ProgramElement.Code.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.5","Award.ProgramElement.Code.9","Award.ProgramElement.Text.6","Award.ProgramElement.Code.10","Award.ProgramElement.Text.7","Award.ProgramElement.Code.11","Award.ProgramElement.Text.8","Award.ProgramElement.Code.12","Award.ProgramElement.Text.9","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"414",414,"Differential Equations and Applied Mathematics","07/01/1971","12/31/1976",55300,"Standard Grant",3040101,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","02/11/1971","03/10/1975",7102656,"Hector","Fattorini","07/01/1971","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,"10889 Wilshire Boulevard","United States","California","CA",3107940102,1266,"APPLIED MATHEMATICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",415,"Photochemistry of Coordination Compounds","03/01/1971","02/28/1974",25000,"Continuing grant",3090102,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","02/11/1971","02/11/1971",7102659,"Jeremy","Taylor","03/01/1971","Principal Investigator","University of Southern California","Los Angeles",900890001,"University Park","United States","California","CA",2137407762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",416,"Analysis of Molecular Spectra","03/01/1971","10/31/1976",175500,"Standard Grant",3020400,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","02/11/1971","05/07/1975",7102668,"John","Phillips","03/01/1971","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,"Sponsored Projects Office","United States","California","CA",5106428109,NA,NA,"Sumner","Davis","03/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",417,"Radio Astronomy Studies","03/01/1971","09/30/1976",618300,"Standard Grant",3020400,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","03/01/1971","04/30/1975",7102672,"James","Warwick","03/01/1971","Principal Investigator","University of Colorado at Boulder","Boulder",803031058,"3100 Marine Street, Room 481","United States","Colorado","CO",3034926221,1214,"PLANETARY ASTRONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",418,"One Electron and Cooperative Effects in Solids","07/01/1971","06/30/1973",90900,"Standard Grant",3010500,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available","03/23/1971","03/23/1971",7102687,"Jeremy","Taylor","07/01/1971","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",2158987293,NA,NA,"E. Ward","Plummer","07/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",419,"Differential and Integral Equations in Continuum Mechanics","07/01/1971","12/31/1976",37200,"Standard Grant",3040101,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/19/1971","04/14/1975",7102693,"Richard","MacCamy","07/01/1971","Principal Investigator","Carnegie-Mellon University","PITTSBURGH",152133815,"5000 Forbes Avenue","United States","Pennsylvania","PA",4122689527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",420,"Chemistry and Electrochemistry of Stereoisomeric Dihalides","07/01/1971","06/30/1977",25800,"Standard Grant",3090302,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","05/04/1971","03/22/1973",7102696,"Albert","Fry","07/01/1971","Principal Investigator","Wesleyan University","Middletown",64593208,"237 HIGH ST","United States","Connecticut","CT",8606853683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",421,"Reduction of Systems of Linear Differential Equations at a Singular Point","07/01/1971","12/31/1976",23500,"Standard Grant",3040102,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/09/1971","01/22/1975",7102698,"Donald","Lutz","07/01/1971","Principal Investigator","University of Wisconsin-Milwaukee","Milwaukee",532010340,"P O BOX 340","United States","Wisconsin","WI",4142294853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",422,"Production of Radicals Via Ozonation","05/01/1971","04/30/1973",45000,"Standard Grant",3090102,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/15/1971","03/15/1971",7102711,"Philip","Bailey","05/01/1971","Principal Investigator","University of Texas at Austin","Austin",787121532,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",5124716424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",423,"Project Polariscope","03/15/1971","09/30/1976",485900,"Standard Grant",3020400,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","03/15/1971","01/05/1976",7102712,"Tom","Gehrels","03/15/1971","Principal Investigator","University of Arizona","Tucson",857194824,"888 N Euclid Ave","United States","Arizona","AZ",5206266000,1214,"PLANETARY ASTRONOMY",NA,NA,NA,NA,NA,NA,NA,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADVANCED TECHNOLOGIES & INSTRM",NA,NA,NA,NA,NA,NA,1522,1523,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,"SOLAR-TERRESTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",424,"Normed Algebras and Abstract Harmonic Analysis","06/01/1971","12/31/1976",123800,"Standard Grant",3040103,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/26/1971","04/18/1974",7102726,"Kenneth","Ross","06/01/1971","Co-Principal Investigator","University of Oregon Eugene","Eugene",974035219,"5219 UNIVERSITY OF OREGON","United States","Oregon","OR",5413465131,1262,"MODERN ANALYSIS","Theodore","Palmer","06/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",425,"Mathematical Analysis","06/15/1971","11/30/1976",246300,"Standard Grant",3040102,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/02/1971","04/16/1975",7102727,"W.H J","Fuchs","06/15/1971","Principal Investigator","Cornell University","Ithaca",148502820,"373 Pine Tree Road","United States","New York","NY",6072555014,NA,NA,"Clifford","Earle","06/15/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",426,"Extreme Points and Rays","03/09/1971","03/31/1971",25000,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/09/1971","03/09/1971",7102728,"George","Minty","03/09/1971","Principal Investigator","Indiana University","Bloomington",474013654,"509 E 3RD ST","United States","Indiana","IN",8128550516,1261,"CLASSICAL ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",427,"Operator Theory","06/01/1971","11/30/1976",33900,"Standard Grant",3040103,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/11/1971","03/27/1975",7102730,"Paul","Halmos","06/01/1971","Principal Investigator","Indiana University","Bloomington",474013654,"509 E 3RD ST","United States","Indiana","IN",8128550516,1262,"MODERN ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",428,"Existence and Classification of Actions of Compact Lie Groups on Smooth Manifolds","06/01/1971","11/30/1976",60900,"Standard Grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/11/1971","04/11/1975",7102731,"Ted","Petrie","06/01/1971","Principal Investigator","Rutgers University New Brunswick","Piscataway",88543925,"33 Knightsbridge Road","United States","New Jersey","NJ",8489320150,1265,"GEOMETRIC ANALYSIS",NA,NA,NA,NA,NA,NA,NA,1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",429,"Intramolecular Energy Relaxation in Photochemical Reactions","05/01/1971","08/31/1976",46000,"Standard Grant",3090102,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/11/1971","11/07/1975",7102738,"Carl","Prenzlow","05/01/1971","Principal Investigator","California State University-Fullerton","Fullerton",928346850,"800 N State College Boulevard","United States","California","CA",6572782106,1914,"INORGANIC CHEMICAL DYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",430,"Global and Asymptotic Problems in Differential Equations","06/01/1971","11/30/1976",104000,"Standard Grant",3040102,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/10/1971","03/28/1975",7102739,"Charles","Conley","06/01/1971","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,"21 North Park Street","United States","Wisconsin","WI",6082623822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",431,"Scale Invariance of High Momentum Transfer Muon Inelastic Scattering","04/01/1971","06/30/1977",543600,"Standard Grant",3010200,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available","03/22/1971","01/01/1977",7102753,"Louis","Hand","04/01/1971","Principal Investigator","Cornell University","Ithaca",148502820,"373 Pine Tree Road","United States","New York","NY",6072555014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",432,"Nuclear Structure and Nuclear Reactions","04/01/1971","04/30/1977",2335100,"Standard Grant",3010400,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available","03/31/1971","12/22/1975",7102754,"James","Maher","04/01/1971","Co-Principal Investigator","University of Pittsburgh","Pittsburgh",152132303,"University Club","United States","Pennsylvania","PA",4126247400,NA,NA,"James","Mc Gruer","04/01/1971","Co-Principal Investigator","Saladin","04/01/1971","Co-Principal Investigator",NA,"Juerg","Bernard","Cohen","04/01/1971","Principal Investigator","Wilfried","Daehnick","04/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",433,"Ergodic Theory","07/01/1971","12/31/1976",47000,"Standard Grant",3040101,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/18/1971","04/14/1975",7102757,"Nathaniel","Friedman","07/01/1971","Principal Investigator","SUNY at Albany","Albany",122220100,"1400 WASHINGTON AVE","United States","New York","NY",5184374550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",434,"Mathematical Analysis","06/01/1971","11/30/1976",220700,"Standard Grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/07/1971","07/21/1975",7102759,"David","Lieberman","06/01/1971","Principal Investigator","Brandeis University","WALTHAM",24532728,"415 SOUTH ST MAILSTOP 116","United States","Massachusetts","MA",7817362121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",435,"Analysis and Continuum Mechanics","07/01/1971","12/31/1977",132200,"Standard Grant",3040101,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","05/28/1971","08/04/1976",7102776,"Charles","Coffman","07/01/1971","Principal Investigator","Carnegie-Mellon University","PITTSBURGH",152133815,"5000 Forbes Avenue","United States","Pennsylvania","PA",4122689527,NA,NA,"Victor","Mizel","07/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",436,"Abelian Groups","06/01/1971","11/30/1976",115600,"Standard Grant",3040104,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/24/1971","05/13/1975",7102778,NA,"DATA NOT AVAILABLE","06/01/1971","Principal Investigator","New Mexico State University","Las Cruces",880038002,"Corner of Espina St. & Stewart","United States","New Mexico","NM",5756461590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",437,"Diffraction Methods For Obtaining Molecular Charge Distributions","05/01/1971","12/31/1976",261000,"Standard Grant",3090106,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/19/1971","08/21/1975",7102783,"Philip","Coppens","05/01/1971","Principal Investigator","SUNY at Buffalo","Amherst",142282567,"520 Lee Entrance","United States","New York","NY",7166452634,1916,"STRUCTURAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",438,"The Illinois Superconducting Electron Linear Accelerator AndIts Nuclear Research Program","04/01/1971","10/01/1977",2550000,"Standard Grant",3010400,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available","03/22/1971","10/01/1976",7102785,"Peter","Axel","04/01/1971","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",2173332187,1273,"NUCLEAR","Alfred","Hanson","04/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439",439,"Categorial Algebra","05/01/1971","12/31/1976",42900,"Standard Grant",3040104,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/12/1971","03/12/1975",7102794,"Peter","Freyd","05/01/1971","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",2158987293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",440,"Harmonic Analysis and Operator Theory","06/01/1971","05/31/1976",39200,"Standard Grant",3040100,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/30/1971","04/10/1975",7102797,"Paul","Muhly","06/01/1971","Principal Investigator","University of Iowa","IOWA CITY",522421320,"2 GILMORE HALL","United States","Iowa","IA",3193352123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",441,"Function Theory on Symmetric Spaces","07/01/1971","12/31/1976",93800,"Standard Grant",3040102,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/05/1971","04/07/1975",7102798,"Adam","Koranyi","07/01/1971","Principal Investigator","Yeshiva University","New York",100333201,"500 West 185th Street","United States","New York","NY",2129605217,1261,"CLASSICAL ANALYSIS",NA,NA,NA,NA,NA,NA,NA,1262,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODERN ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",442,"Topological Algebra","07/01/1971","12/31/1976",66200,"Standard Grant",3040104,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/19/1971","05/12/1975",7102806,"Oscar","Goldman","07/01/1971","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",2158987293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443",443,"Group Theory","07/01/1971","06/30/1975",56800,"Standard Grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/05/1971","04/03/1974",7102822,"Spyros","Magliveras","07/01/1971","Co-Principal Investigator","New York University","NEW YORK",100121019,"70 WASHINGTON SQUARE S","United States","New York","NY",2129982121,1264,"ALGEBRA,NUMBER THEORY,AND COM","Wilhelm","Magnus","07/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",444,"Algebra and Algebraic Geometry","07/01/1971","12/31/1976",63600,"Standard Grant",3040104,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/19/1971","05/13/1975",7102823,"Stephen","Shatz","07/01/1971","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",2158987293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",445,"Properties of Polyphenylenes in Solution","04/15/1971","04/30/1972",27500,"GAA",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/30/1971","03/30/1971",7102824,"Jeremy","Taylor","04/15/1971","Principal Investigator","Carnegie-Mellon University","PITTSBURGH",152133815,"5000 Forbes Avenue","United States","Pennsylvania","PA",4122689527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",446,"Potentiometric Studies of Liquid Ammonia Solutions","06/01/1971","05/31/1974",59100,"Standard Grant",3090108,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/31/1971","06/01/1973",7102827,"Joseph","Lagowski","06/01/1971","Principal Investigator","University of Texas at Austin","Austin",787121532,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",5124716424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447",447,"Functional Analysis","06/15/1971","11/30/1976",337100,"Standard Grant",3040103,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/01/1971","04/30/1975",7102839,"Robert","Bartle","06/15/1971","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",2173332187,1262,"MODERN ANALYSIS","Mahlon","Day","06/15/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448",448,"Functional Analysis and Related Topological Concepts","07/01/1971","12/31/1976",44500,"Standard Grant",3040103,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/08/1971","03/13/1974",7102840,"Robert","James","07/01/1971","Principal Investigator","Claremont Graduate University","Claremont",917115909,"150 East Tenth Street","United States","California","CA",9096079406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449",449,"Harmonic and Abstract Analysis","07/01/1971","12/31/1976",105500,"Standard Grant",3040103,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","04/05/1971","04/22/1975",7102841,"Karel","Deleeuw","07/01/1971","Principal Investigator","Stanford University","Palo Alto",943041212,"3160 Porter Drive","United States","California","CA",6507232300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
